Date,Open,High,Low,Close,Volume,Adjusted
2022-04-12,21279.179688,21519.130859,20988.199219,21319.130859,2045265200,21319.130859
2022-04-13,21192.619141,21531.480469,21141.060547,21374.369141,1696862200,21374.369141
2022-04-14,21463.349609,21587.470703,21358.730469,21518.080078,1719437600,21518.080078
2022-04-19,21106,21191.800781,20896.429688,21027.759766,2240088300,21027.759766
2022-04-20,20972.839844,21214.980469,20889.019531,20944.669922,1876429100,20944.669922
2022-04-21,20780.859375,20920.599609,20483.859375,20682.220703,2226185800,20682.220703
2022-04-22,20261.609375,20709.490234,20184.960938,20638.519531,2351346100,20638.519531
2022-04-25,20284.599609,20284.599609,19784.279297,19869.339844,2912292500,19869.339844
2022-04-26,19989.039063,20258.640625,19858.359375,19934.710938,2565706600,19934.710938
2022-04-27,19723.460938,20053.109375,19665.490234,19946.359375,2361021600,19946.359375
2022-04-28,20118.789063,20286.830078,19956.669922,20276.169922,2255667000,20276.169922
2022-04-29,20271.400391,21176.580078,20040.070313,21089.390625,2727108500,21089.390625
2022-05-03,20927.619141,21291.800781,20648.529297,21101.890625,1741666900,21101.890625
2022-05-04,21025.699219,21047.130859,20772.800781,20869.519531,1139909500,20869.519531
2022-05-05,21163.150391,21284.849609,20776.970703,20793.400391,1827136200,20793.400391
2022-05-06,20287.060547,20320.279297,19973.470703,20001.960938,2110559000,20001.960938
2022-05-10,19300.679688,19758.630859,19178.890625,19633.689453,2785651600,19633.689453
2022-05-11,19511.800781,20083.490234,19474.029297,19824.570313,1958419000,19824.570313
2022-05-12,19556.890625,19731.269531,19342.890625,19380.339844,2273639300,19380.339844
2022-05-13,19615.990234,19925.439453,19608.259766,19898.769531,2075261400,19898.769531
2022-05-16,20131.529297,20173.220703,19764.960938,19950.210938,1796370300,19950.210938
2022-05-17,20193.599609,20626.419922,20169.240234,20602.519531,2207409300,20602.519531
2022-05-18,20674.230469,20711.929688,20389.609375,20644.279297,1945972100,20644.279297
2022-05-19,20146.960938,20277.939453,19924.869141,20120.679688,2120940500,20120.679688
2022-05-20,20470.949219,20794.130859,20408.679688,20717.240234,2173124300,20717.240234
2022-05-23,20608.650391,20642.759766,20303.550781,20470.060547,1696099800,20470.060547
2022-05-24,20420.140625,20509.619141,19989.619141,20112.099609,1825206400,20112.099609
2022-05-25,20115.560547,20370.740234,20067.980469,20171.269531,2097456800,20171.269531
2022-05-26,20272.220703,20272.220703,19890.759766,20116.199219,1855500300,20116.199219
2022-05-27,20646.060547,20779.75,20494.150391,20697.359375,2565822400,20697.359375
2022-05-30,20933.5,21169.080078,20885.019531,21123.929688,2609326500,21123.929688
2022-05-31,21106.410156,21415.199219,21029.720703,21415.199219,3919117100,21415.199219
2022-06-01,21407.789063,21411.949219,21154.039063,21294.939453,2073470900,21294.939453
